Altium Designer Pick and Place Locations
C:\_ALTIUM\ALTIUM_PROJ\MOTOR_DRIVER\Project Outputs for MOTOR_DRIVER\Generates pick and place files\Pick Place for MotorDriver_Rev3.csv

========================================================================================================================
File Design Information:

Date:       16/04/24
Time:       13:40
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"D4","IDH08G65C6","TopLayer","TO508P450X1000X2005-2P","118.0566","96.9662","180","Schottky Diode"
"D3","IDH08G65C6","TopLayer","TO508P450X1000X2005-2P","101.3311","96.9547","180","Schottky Diode"
"D2","IDH08G65C6","TopLayer","TO508P450X1000X2005-2P","83.3150","96.9604","180","Schottky Diode"
"C58","390uF/100V","TopLayer","CAP-ELEC-D16mm-L25mm-d7.5mm","142.7480","29.5970","270","PANASONIC EEU-FS2A391"
"J4","VP026584000AG","TopLayer","ML-VP026584000AG","143.3617","72.2267","90","Connector"
"R116","0R","TopLayer","RES-0805","37.7785","72.5795","270",""
"R115","0R","TopLayer","RES-0805","114.3145","73.1013","180",""
"R114","0R","TopLayer","RES-0805","21.7689","73.3801","270",""
"R113","0R","TopLayer","RES-0805","97.7070","75.2755","0",""
"R112","0R","TopLayer","RES-0805","69.2985","76.9735","270",""
"R111","0R","TopLayer","RES-0805","56.9882","74.8257","270",""
"CS3","ACS37010LLZATR-050B3","TopLayer","ACS37010LLZATR050B5","44.0169","72.3991","0","Integrated Circuit"
"R110","0R","TopLayer","RES-0805","69.0820","18.0362","180",""
"C28","NU","TopLayer","CAP-0603","111.1839","79.3751","360",""
"D5","IDH08G65C6","TopLayer","TO508P450X1000X2005-2P","22.8600","96.9772","180","Schottky Diode"
"P7","Header 3","TopLayer","HDR1X3","53.6859","96.8404","180","Header, 3-Pin"
"C57","390uF/100V","TopLayer","CAP-ELEC-D16mm-L25mm-d7.5mm","142.7649","47.0010","90","PANASONIC EEU-FS2A391"
"R104","1K","TopLayer","RES-1206","105.4322","12.3860","360",""
"R103","30K","TopLayer","RES-1206","153.4290","23.7909","270",""
"R102","30K","TopLayer","RES-1206","153.3425","28.3354","270",""
"R96","30K","TopLayer","RES-1206","152.4676","35.8480","270",""
"R95","1K","TopLayer","RES-1206","105.4996","14.9602","360",""
"R94","30K","TopLayer","RES-1206","152.3811","40.6954","270",""
"R93","1K","TopLayer","RES-1206","105.5130","17.5746","360",""
"R92","30K","TopLayer","RES-1206","151.3762","54.9870","270",""
"R91","30K","TopLayer","RES-1206","151.2896","59.3583","270",""
"P6","Header 3","TopLayer","HDR1X3","101.5952","15.0639","90","Header, 3-Pin"
"R86","0R","TopLayer","RES-0805","17.2720","18.1610","90",""
"J3","VP026584000AG","TopLayer","ML-VP026584000AG","137.6463","10.6701","90","Connector"
"U8","PQQC6-D48-S12-OS","TopLayer","CONV_PQQC6-D48-S12-OS","88.1164","2.7457","180",""
"C63","1n","BottomLayer","CAP-0603","54.6100","39.4840","360",""
"C60","1n","BottomLayer","CAP-0603","55.8800","39.5100","360",""
"R100","1K","TopLayer","RES-0805","64.9830","32.8930","180",""
"C75","1n","TopLayer","CAP-0603","62.6110","34.0490","180",""
"U7","STM32G474RBT6","TopLayer","QFP50P1200X1200X160-64N","53.4780","40.9050","90","Integrated Circuit"
"R73","100R","TopLayer","RES-0805","23.6220","17.4400","270",""
"C31","1u","TopLayer","CAP-0603","59.6770","11.8110","90",""
"D10","PMEG6010","TopLayer","PMEG6010CEGWQJ","74.4937","78.6945","90","Schottky Diode"
"C20","10u","TopLayer","CAP-0805","74.8434","74.2618","180",""
"U10","THVD1420DR","TopLayer","SOIC127P600X175-8N","12.4010","17.3990","180","Integrated Circuit"
"R88","10K","TopLayer","RES-0805","19.2725","16.2845","270",""
"R83","NU","TopLayer","RES-0805","27.9400","28.5340","270",""
"R43","10K","TopLayer","RES-0805","42.8050","36.9980","270",""
"R52","100R","TopLayer","RES-2010","76.6940","11.0490","360",""
"CS4","CZ3A06","TopLayer","ML-CZ3A07","124.6696","61.3952","180","Undefined or Miscellaneous"
"R24","100R","TopLayer","RES-0805","101.0060","60.7060","360",""
"R7","30K","TopLayer","RES-0805","68.5280","65.9420","270",""
"P1","Header 6","TopLayer","HDR1X6","35.0280","40.4170","270","Header, 6-Pin"
"R55","3k","TopLayer","RES-0805","85.5570","13.0810","180",""
"SW1","210-4MS","TopLayer","2104MS","34.5440","18.2880","180","Connector"
"R81","1K","TopLayer","RES-0805","38.5330","25.4750","270",""
"R82","1K","TopLayer","RES-0805","35.9410","25.5270","270",""
"R84","1K","TopLayer","RES-0805","33.4010","25.5270","270",""
"R85","1K","TopLayer","RES-0805","30.8610","25.4860","270",""
"C54","1n","TopLayer","CAP-0603","61.8490","36.1950","90",""
"C50","1n","TopLayer","CAP-0603","59.1950","52.1970","90",""
"R66","100R","TopLayer","RES-0805","83.3030","66.2670","180",""
"C49","1n","TopLayer","CAP-0603","57.9120","31.3560","0",""
"R47","1K","TopLayer","RES-0805","49.3170","30.7340","180",""
"C38","1n","TopLayer","CAP-0603","51.6890","31.5090","360",""
"U9","NU","TopLayer","CONV_PQQC6-D48-S12-OS","88.1380","28.0670","180",""
"R64","0R","TopLayer","RES-2010","76.5670","14.2240","360",""
"U4","PQQC6-D48-S12-OS","TopLayer","CONV_PQQC6-D48-S12-OS","88.1380","38.2270","180",""
"R27","NU","BottomLayer","RES-1206","41.9790","88.0179","90",""
"C55","390uF/100V","TopLayer","CAP-ELEC-D16mm-L25mm-d7.5mm","125.4760","46.8760","90","PANASONIC EEU-FS2A391"
"C45","390uF/100V","TopLayer","CAP-ELEC-D16mm-L25mm-d7.5mm","108.2040","29.4700","270","PANASONIC EEU-FS2A391"
"C56","390uF/100V","TopLayer","CAP-ELEC-D16mm-L25mm-d7.5mm","125.7300","29.5970","270","PANASONIC EEU-FS2A391"
"C33","100n","TopLayer","CAP-0603","44.5770","35.9540","0",""
"C39","100n","TopLayer","CAP-0603","116.0632","59.4932","360",""
"C41","100n","TopLayer","CAP-0603","111.2495","55.9242","90",""
"C42","100n","TopLayer","CAP-0603","112.0246","58.3372","0",""
"C37","100n","TopLayer","CAP-0603","47.1170","47.2440","270",""
"C32","1u","TopLayer","CAP-0603","45.8470","35.8140","360",""
"Q3","IRF100P219","TopLayer","TO-247-3P","98.4240","82.7500","360","INFINEON IRF100P219AKMA1"
"Q1","IRF100P219","TopLayer","TO-247-3P","60.7558","82.7532","360","INFINEON IRF100P219AKMA1"
"Q4","IRF100P219","TopLayer","TO-247-3P","117.2200","82.7500","360","INFINEON IRF100P219AKMA1"
"Q2","IRF100P219","TopLayer","TO-247-3P","79.6280","82.7500","360","INFINEON IRF100P219AKMA1"
"U5","PQQC6-D48-S12-OS","TopLayer","CONV_PQQC6-D48-S12-OS","88.1380","48.3870","180",""
"U12","OPA2836ID","TopLayer","SOIC127P600X175-8N","67.5400","46.7620","180","Fast Settling Dual Operational Amplifier"
"U6","NU","TopLayer","CONV_PQQC6-D48-S12-OS","88.1380","17.9070","180",""
"Q5","IRF100P219","TopLayer","TO-247-3P","21.3370","82.7500","360","INFINEON IRF100P219AKMA1"
"Q6","IRF100P219","TopLayer","TO-247-3P","39.8790","82.7500","360","INFINEON IRF100P219AKMA1"
"D1","IDH08G65C6","TopLayer","TO508P450X1000X2005-2P","64.7700","97.0026","180","Schottky Diode"
"D9","PMEG6010","TopLayer","PMEG6010CEGWQJ","17.6695","78.1628","90","Schottky Diode"
"D8","PMEG6010","TopLayer","PMEG6010CEGWQJ","93.5896","78.8666","90","Schottky Diode"
"U1","STGAP2DM","TopLayer","STGAP2DM","67.5620","71.5582","90","No Description Available"
"U2","STGAP2DM","TopLayer","STGAP2DM","104.6460","72.5170","90","No Description Available"
"U3","STGAP2DM","TopLayer","STGAP2DM","29.8430","69.6532","90","No Description Available"
"CS1","ACS37010LLZATR-050B3","TopLayer","ACS37010LLZATR050B5","83.6930","71.7550","0","Integrated Circuit"
"Q7","IRF100P219","TopLayer","TO-247-3P","14.1710","38.3540","90","INFINEON IRF100P219AKMA1"
"TVS1","CDSOT23-SM712","TopLayer","SOT95P230X117-3N","5.2890","21.7170","360","Bidirectional 400-W transient suppressor"
"P4","Header 6","TopLayer","HDR1X6","40.4280","40.2770","270","Header, 6-Pin"
"H1","WV-T247-101E","TopLayer","WVT247101E","8.9877","39.1393","360","Undefined or Miscellaneous"
"J2","VP026584000AG","TopLayer","ML-VP026584000AG","143.4129","93.6201","90","Connector"
"R19","15R","TopLayer","RES-0805","71.7140","78.8670","360",""
"C1","NU","BottomLayer","CAP-1206","59.7989","78.3760","270",""
"C2","NU","BottomLayer","CAP-1206","97.4698","78.8016","360",""
"C3","NU","BottomLayer","CAP-1206","22.8600","87.0880","90",""
"C5","10u","TopLayer","CAP-0805","66.6750","77.8510","90",""
"C7","10u","TopLayer","CAP-0805","103.7590","78.7400","90",""
"C9","10u","TopLayer","CAP-0805","29.0830","76.0730","90",""
"C10","100n","TopLayer","CAP-0603","66.5350","76.0730","90",""
"C11","100n","TopLayer","CAP-0603","103.6300","77.0740","90",""
"C12","100n","TopLayer","CAP-0603","28.8420","74.4220","90",""
"C13","NU","TopLayer","CAP-0603","56.7645","79.3279","360",""
"C14","NU","TopLayer","CAP-0603","91.9435","78.4521","360",""
"C15","NU","BottomLayer","CAP-0603","16.6500","80.1370","270",""
"C22","10u","TopLayer","CAP-0805","112.7219","75.6124","360",""
"C19","10u","TopLayer","CAP-0805","36.7539","74.8429","90",""
"C25","100n","TopLayer","CAP-0603","73.2817","73.9681","180",""
"C27","100n","TopLayer","CAP-0603","111.2587","75.7315","180",""
"C29","100n","TopLayer","CAP-0603","35.9272","72.4142","180",""
